book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,NonEnglish
235,17802724,17802724,23986788,95,399159347,9780399159340.0,Liane Moriarty,2013.0,The Husband's Secret,The Husband's Secret,eng,3.92,232106,351805,27610,4175,15649,80869,155945,95167,https://images.gr-assets.com/books/1460577225m/17802724.jpg,https://images.gr-assets.com/books/1460577225s/17802724.jpg,0
252,11235712,11235712,15545385,92,312641893,9780312641890.0,Marissa Meyer,2012.0,Cinder,"Cinder (The Lunar Chronicles, #1)",eng,4.15,427663,454146,41109,12154,18256,66180,150914,206642,https://images.gr-assets.com/books/1470056948m/11235712.jpg,https://images.gr-assets.com/books/1470056948s/11235712.jpg,0
253,16160797,16160797,22002305,48,316206849,9780316206850.0,"Robert Galbraith, J.K. Rowling",2013.0,The Cuckoo's Calling,"The Cuckoo's Calling (Cormoran Strike, #1)",en-US,3.83,297712,340495,27258,9729,20151,79290,138955,92370,https://images.gr-assets.com/books/1358716559m/16160797.jpg,https://images.gr-assets.com/books/1358716559s/16160797.jpg,0
262,19486412,19486412,27570886,107,399167064,9780399167060.0,Liane Moriarty,2014.0,Big Little Lies,Big Little Lies,eng,4.2,306186,371433,30120,3775,7865,49115,159494,151184,https://images.gr-assets.com/books/1492239430m/19486412.jpg,https://images.gr-assets.com/books/1492239430s/19486412.jpg,0
267,21853621,21853621,41125521,90,312577222,9780312577220.0,Kristin Hannah,2015.0,The Nightingale,The Nightingale,eng,4.54,253606,327015,37279,2829,4913,20612,82844,215817,https://images.gr-assets.com/books/1451446316m/21853621.jpg,https://images.gr-assets.com/books/1451446316s/21853621.jpg,0
279,29056083,29056083,48765776,95,751565350,9780751565360.0,"John Tiffany, Jack Thorne, J.K. Rowling",2016.0,"Harry Potter and the Cursed Child, Parts One and Two","Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",eng,3.75,270603,397773,53365,15828,35842,96395,133156,116552,https://images.gr-assets.com/books/1470082995m/29056083.jpg,https://images.gr-assets.com/books/1470082995s/29056083.jpg,0
290,10335308,10335308,15237902,18,307886263,9780307886260.0,Mindy Kaling,2011.0,Is Everyone Hanging Out Without Me? (And Other Concerns),Is Everyone Hanging Out Without Me? (And Other Concerns),eng,3.84,290674,312931,19397,6438,18856,81229,117248,89160,https://images.gr-assets.com/books/1443264638m/10335308.jpg,https://images.gr-assets.com/books/1443264638s/10335308.jpg,0
313,13158800,13158800,18337340,113,1451681739,9781451681730.0,M.L. Stedman,2012.0,The Light Between Oceans,The Light Between Oceans,eng,4.0,243526,288434,29932,3432,11985,56557,124430,92030,https://images.gr-assets.com/books/1336683021m/13158800.jpg,https://images.gr-assets.com/books/1336683021s/13158800.jpg,0
352,20910157,20910157,40098620,29,62268341,9780062268340.0,Amy Poehler,2014.0,Yes Please,Yes Please,eng,3.81,251082,274223,20301,8886,19000,69227,96483,80627,https://images.gr-assets.com/books/1402815435m/20910157.jpg,https://images.gr-assets.com/books/1402815435s/20910157.jpg,0
373,6319,6319,1249788,197,141311371,9780141311370.0,"Roald Dahl, Quentin Blake",1982.0,The BFG,The BFG,eng,4.22,245855,264369,7906,2987,7906,42480,86105,124891,https://images.gr-assets.com/books/1327872673m/6319.jpg,https://images.gr-assets.com/books/1327872673s/6319.jpg,0
437,18079776,18079776,25387072,63,670024783,9780670024780.0,Sue Monk Kidd,2014.0,The Invention of Wings,The Invention of Wings,en-US,4.23,168006,193774,19518,1466,4021,25745,80524,82018,https://images.gr-assets.com/books/1386699861m/18079776.jpg,https://images.gr-assets.com/books/1386699861s/18079776.jpg,0
438,6469165,6469165,6659752,68,141043768,9780141043760.0,Liane Moriarty,2009.0,What Alice Forgot,What Alice Forgot,eng,4.05,165704,205778,17382,1599,6071,38562,93941,65605,https://images.gr-assets.com/books/1377159022m/6469165.jpg,https://images.gr-assets.com/books/1377159022s/6469165.jpg,0
452,16101128,16101128,19187812,102,399162410,9780399162410.0,Rick Yancey,2013.0,The 5th Wave,"The 5th Wave (The 5th Wave, #1)",eng,4.1,260048,287540,26756,6176,13097,47631,98816,121820,https://images.gr-assets.com/books/1359853842m/16101128.jpg,https://images.gr-assets.com/books/1359853842s/16101128.jpg,0
458,20170404,20170404,28098716,63,385353308,9780385353300.0,Emily St. John Mandel,2014.0,Station Eleven,Station Eleven,eng,4.02,160466,189380,24215,4039,8449,33537,77755,65600,https://images.gr-assets.com/books/1451446835m/20170404.jpg,https://images.gr-assets.com/books/1451446835s/20170404.jpg,0
459,18774964,18774964,21619954,132,1476738017,9781476738020.0,"Fredrik Backman, Henning Koch",2012.0,En man som heter Ove,A Man Called Ove,eng,4.35,183777,243440,34386,2589,5734,25138,81377,128602,https://images.gr-assets.com/books/1405259930m/18774964.jpg,https://images.gr-assets.com/books/1405259930s/18774964.jpg,0
469,41899,41899,4195128,123,439321603,9780439321600.0,"Newt Scamander, J.K. Rowling, Albus Dumbledore",2001.0,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,eng,3.95,185928,209465,6523,2847,13155,52573,64027,76863,https://images.gr-assets.com/books/1303738520m/41899.jpg,https://images.gr-assets.com/books/1303738520s/41899.jpg,0
470,17851885,17851885,24987300,129,316322407,9780316322410.0,"Malala Yousafzai, Christina Lamb",2012.0,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,eng,4.06,214412,227850,14667,7433,9470,38518,77944,94485,https://images.gr-assets.com/books/1375414895m/17851885.jpg,https://images.gr-assets.com/books/1375414895s/17851885.jpg,0
533,24817626,24817626,44458285,102,62409859,9780062409850.0,Harper Lee,2015.0,Go Set a Watchman,Go Set a Watchman,eng,3.31,138669,164828,24535,8284,26200,58810,48468,23066,https://images.gr-assets.com/books/1451442088m/24817626.jpg,https://images.gr-assets.com/books/1451442088s/24817626.jpg,0
536,17878931,22328546,25037051,84,1409151174,9781409151170.0,Victoria Aveyard,2015.0,Red Queen,"Red Queen (Red Queen, #1)",eng,4.08,83354,289740,30249,7454,14867,48254,95303,123862,https://images.gr-assets.com/books/1411472322m/17878931.jpg,https://images.gr-assets.com/books/1411472322s/17878931.jpg,0
566,25041504,25041504,44693518,94,,,Jojo Moyes,2015.0,After You,"After You (Me Before You, #2)",eng,3.7,99342,175532,16879,2923,12992,53847,69425,36345,https://images.gr-assets.com/books/1429029729m/25041504.jpg,https://images.gr-assets.com/books/1429029729s/25041504.jpg,0
623,18775247,18775247,26680281,111,1476754454,9781476754450.0,Stephen King,2014.0,Mr. Mercedes,"Mr. Mercedes (Bill Hodges Trilogy, #1)",eng,3.92,125847,148491,12447,3242,7332,32479,60965,44473,https://images.gr-assets.com/books/1468705326m/18775247.jpg,https://images.gr-assets.com/books/1468705326s/18775247.jpg,0
659,88061,88061,86032,83,1921351438,9781921351430.0,Barack Obama,1995.0,Dreams from My Father,Dreams from My Father: A Story of Race and Inheritance,eng,3.81,128961,135594,5843,6777,7212,30921,50809,39875,https://images.gr-assets.com/books/1352340675m/88061.jpg,https://images.gr-assets.com/books/1352340675s/88061.jpg,0
668,18693763,18693763,26542311,62,159420571X,9781594205710.0,Celeste Ng,2014.0,Everything I Never Told You,Everything I Never Told You,eng,3.78,108703,134550,15177,2352,8110,36543,57858,29687,https://images.gr-assets.com/books/1386795198m/18693763.jpg,https://images.gr-assets.com/books/1386795198s/18693763.jpg,0
678,18293427,18293427,25694131,79,1616203218,9781616203210.0,Gabrielle Zevin,2014.0,The Storied Life of A.J. Fikry,The Storied Life of A.J. Fikry,eng,3.98,115393,145313,20980,2685,5844,28640,63184,44960,https://images.gr-assets.com/books/1404582137m/18293427.jpg,https://images.gr-assets.com/books/1404582137s/18293427.jpg,0
695,18214414,18214414,25639104,109,316206873,9780316206880.0,"Robert Galbraith, J.K. Rowling",2014.0,The Silkworm,"The Silkworm (Cormoran Strike, #2)",eng,4.03,120008,145146,13549,1330,4361,27130,67680,44645,https://images.gr-assets.com/books/1392577290m/18214414.jpg,https://images.gr-assets.com/books/1392577290s/18214414.jpg,0
716,531350,25402194,2416287,101,446579920,9780446579930.0,Nicholas Sparks,2007.0,The Choice,The Choice,en-US,3.99,93479,128525,6808,2160,7288,28349,42867,47861,https://images.gr-assets.com/books/1385739133m/531350.jpg,https://images.gr-assets.com/books/1385739133s/531350.jpg,0
768,21686,21686,1234227,134,038073186X,9780380731860.0,Dennis Lehane,2003.0,Shutter Island,Shutter Island,eng,4.07,113718,124032,6990,1636,4727,22089,49875,45705,https://images.gr-assets.com/books/1329269081m/21686.jpg,https://images.gr-assets.com/books/1329269081s/21686.jpg,0
811,18812405,18812405,26747961,76,778316556,9780778316560.0,Mary Kubica,2014.0,The Good Girl,The Good Girl,eng,3.81,100936,122753,11244,2697,8081,30628,49795,31552,https://images.gr-assets.com/books/1388340126m/18812405.jpg,https://images.gr-assets.com/books/1388340126s/18812405.jpg,0
832,268602,479309,1097497,101,399151575,9780399151580.0,J.D. Robb,1995.0,Naked in Death,"Naked in Death (In Death, #1)",en-US,4.13,78028,126781,4462,3226,5211,21254,39535,57555,https://images.gr-assets.com/books/1297783540m/268602.jpg,https://images.gr-assets.com/books/1297783540s/268602.jpg,0
852,25899336,25899336,45424659,80,,,"Paul Kalanithi, Abraham Verghese",2016.0,When Breath Becomes Air,When Breath Becomes Air,eng,4.32,116771,165673,15933,2913,4244,18562,51535,88419,https://images.gr-assets.com/books/1492677644m/25899336.jpg,https://images.gr-assets.com/books/1492677644s/25899336.jpg,0
858,15839976,15839976,21580644,83,345539788,9780345539790.0,Pierce Brown,2014.0,Red Rising,"Red Rising (Red Rising, #1)",eng,4.26,104939,128188,15775,2341,4309,15037,42448,64053,https://images.gr-assets.com/books/1461354651m/15839976.jpg,https://images.gr-assets.com/books/1461354651s/15839976.jpg,0
886,17235026,17235026,23753235,69,356500152,9780356500160.0,M.R. Carey,2014.0,The Girl with All the Gifts,The Girl with All the Gifts,eng,3.93,99729,119493,14701,2427,6277,24649,49720,36420,https://images.gr-assets.com/books/1403033579m/17235026.jpg,https://images.gr-assets.com/books/1403033579s/17235026.jpg,0
920,22318578,22318578,41711738,94,1607747308,9781607747310.0,"Marie Kondō, Cathy Hirano",2011.0,人生がときめく片づけの魔法,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,eng,3.77,105063,129409,17320,3885,10846,32775,44967,36936,https://images.gr-assets.com/books/1418767178m/22318578.jpg,https://images.gr-assets.com/books/1418767178s/22318578.jpg,0
921,18460392,18460392,26113532,74,385755880,9780385755890.0,"Jennifer Niven, فرانک معنوی",2015.0,All the Bright Places,All the Bright Places,eng,4.19,132087,146542,21192,2871,6238,21061,45697,70675,https://images.gr-assets.com/books/1404331702m/18460392.jpg,https://images.gr-assets.com/books/1404331702s/18460392.jpg,0
926,22609317,22609317,42099141,58,1476789630,9781476789640.0,Jessica Knoll,2015.0,Luckiest Girl Alive,Luckiest Girl Alive,eng,3.48,82504,98163,9278,3530,11319,33135,34874,15305,https://images.gr-assets.com/books/1425975301m/22609317.jpg,https://images.gr-assets.com/books/1425975301s/22609317.jpg,0
940,18693716,18693716,25570700,88,525426582,9780525426580.0,Jojo Moyes,2014.0,The One Plus One,One Plus One,eng,3.94,87412,105933,9884,1548,4059,23143,47569,29614,https://images.gr-assets.com/books/1403185695m/18693716.jpg,https://images.gr-assets.com/books/1403185695s/18693716.jpg,0
974,216363,216363,2398287,196,679740678,9780679740670.0,Philip K. Dick,1962.0,The Man in the High Castle,The Man in the High Castle,eng,3.66,84180,108388,7689,2723,10203,31793,40156,23513,https://images.gr-assets.com/books/1448756803m/216363.jpg,https://images.gr-assets.com/books/1448756803s/216363.jpg,0
983,25489625,25489625,44848425,36,812993543,9780812993550.0,Ta-Nehisi Coates,2015.0,Between the World and Me,Between the World and Me,eng,4.4,74218,102946,13113,1438,2375,9177,30541,59415,https://images.gr-assets.com/books/1451435027m/25489625.jpg,https://images.gr-assets.com/books/1451435027s/25489625.jpg,0
991,8909152,8909152,13785503,44,525951989,9780525951990.0,Rainbow Rowell,2011.0,Attachments,Attachments,eng,3.95,105414,119865,16114,2354,5547,25617,48546,37801,https://images.gr-assets.com/books/1499377988m/8909152.jpg,https://images.gr-assets.com/books/1499377988s/8909152.jpg,0
1028,26247008,26247008,49997474,45,1250069793,9781250069800.0,Liane Moriarty,2016.0,Truly Madly Guilty,Truly Madly Guilty,eng,3.55,90477,116339,11983,2752,10961,41045,42953,18628,https://images.gr-assets.com/books/1491249206m/26247008.jpg,https://images.gr-assets.com/books/1491249206s/26247008.jpg,0
1039,5899779,5899779,6072122,92,1594743347,9781594743340.0,"Seth Grahame-Smith, Jane Austen",2009.0,Pride and Prejudice and Zombies,"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",eng,3.28,103995,110252,12184,10085,17255,33627,29961,19324,https://images.gr-assets.com/books/1320449653m/5899779.jpg,https://images.gr-assets.com/books/1320449653s/5899779.jpg,0
1044,22716447,30268522,41897766,18,804138141,9780804138150.0,Mindy Kaling,2015.0,Why Not Me?,Why Not Me?,eng,3.89,74199,106929,7736,2037,5274,25842,42829,30947,https://images.gr-assets.com/books/1442548684m/22716447.jpg,https://images.gr-assets.com/books/1442548684s/22716447.jpg,0
1046,23453112,23453112,43014915,39,1594206279,9781594206280.0,"Aziz Ansari, Eric Klinenberg",2015.0,Modern Romance,Modern Romance,eng,3.85,94231,105957,10334,1640,4958,26742,46453,26164,https://images.gr-assets.com/books/1432335014m/23453112.jpg,https://images.gr-assets.com/books/1432335014s/23453112.jpg,0
1065,25735012,25735012,43699375,83,316349933,9780316349930.0,"Robert Galbraith, J.K. Rowling",2015.0,Career of Evil,"Career of Evil (Cormoran Strike, #3)",eng,4.21,66979,95274,10254,550,1926,12591,42325,37882,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1076,25781157,25781157,45630747,46,62414216,9780062414210.0,Cynthia D'Aprix Sweeney,2016.0,The Nest,The Nest,eng,3.45,79762,96364,10214,2615,9810,36492,36673,10774,https://images.gr-assets.com/books/1461354827m/25781157.jpg,https://images.gr-assets.com/books/1461354827s/25781157.jpg,0
1088,31463,31463,914540,789,141439653,9780141439660.0,"Thomas Hardy, Rosemarie Morgan, Shannon Russell",1874.0,Far from the Madding Crowd,Far from the Madding Crowd,eng,3.92,87427,97459,4277,2221,5493,21766,36743,31236,https://images.gr-assets.com/books/1388279695m/31463.jpg,https://images.gr-assets.com/books/1388279695s/31463.jpg,0
1156,611298,611298,2884260,28,446580503,9780446580500.0,"Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell",2007.0,I Am America (And So Can You!),I Am America (And So Can You!),en-US,3.91,71023,72740,3328,1209,4029,17615,27295,22592,https://images.gr-assets.com/books/1435873807m/611298.jpg,https://images.gr-assets.com/books/1435873807s/611298.jpg,0
1162,11230081,11230081,16156051,32,446585025,9780446585030.0,Ellen DeGeneres,2011.0,Seriously...I'm Kidding,Seriously... I'm Kidding,en-US,3.72,74358,79686,5874,2961,8032,21234,23345,24114,https://images.gr-assets.com/books/1441195131m/11230081.jpg,https://images.gr-assets.com/books/1441195131s/11230081.jpg,0
1164,11250053,11250053,16176521,57,316175676,9780316175680.0,Eowyn Ivey,2012.0,The Snow Child,The Snow Child,eng,3.95,72328,85022,11419,1238,3845,18320,36287,25332,https://images.gr-assets.com/books/1327098624m/11250053.jpg,https://images.gr-assets.com/books/1327098624s/11250053.jpg,0
1173,25074850,25074850,27669153,111,385354282,9780385354290.0,"David Lagercrantz, Stieg Larsson, George Goulding",2015.0,Det som inte dödar oss,"The Girl in the Spider's Web (Millennium, #4)",eng,3.73,53751,81860,9763,1850,5662,22883,33656,17809,https://images.gr-assets.com/books/1427843648m/25074850.jpg,https://images.gr-assets.com/books/1427843648s/25074850.jpg,0
1174,26893819,26893819,42856015,59,081299860X,9780812998600.0,Emma Cline,2016.0,The Girls,The Girls,eng,3.49,76761,94812,11573,2905,11033,32122,34599,14153,https://images.gr-assets.com/books/1492065338m/26893819.jpg,https://images.gr-assets.com/books/1492065338s/26893819.jpg,0
1187,13586707,35036409,19174054,9,1609450787,9781609450790.0,"Elena Ferrante, Ann Goldstein",2011.0,L'amica geniale,My Brilliant Friend (The Neapolitan Novels #1),eng,3.88,64637,88433,10235,2191,5663,19003,34930,26646,https://images.gr-assets.com/books/1343064947m/13586707.jpg,https://images.gr-assets.com/books/1343064947s/13586707.jpg,0
1198,22822858,22822858,42375710,55,385539258,9780385539260.0,Hanya Yanagihara,2015.0,A Little Life,A Little Life,eng,4.27,66782,85544,15267,2540,3792,9264,22287,47661,https://images.gr-assets.com/books/1446469353m/22822858.jpg,https://images.gr-assets.com/books/1446469353s/22822858.jpg,0
1220,24612118,24612118,43913972,50,1594634475,9781594634480.0,Lauren Groff,2015.0,Fates and Furies,Fates and Furies,eng,3.56,66085,77785,10342,3942,8645,21297,27975,15926,https://images.gr-assets.com/books/1434750235m/24612118.jpg,https://images.gr-assets.com/books/1434750235s/24612118.jpg,0
1308,17927395,17927395,25126749,39,,,Sarah J. Maas,2016.0,A Court of Mist and Fury,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",eng,4.72,108384,126491,22700,931,1420,4725,18000,101415,https://images.gr-assets.com/books/1485259138m/17927395.jpg,https://images.gr-assets.com/books/1485259138s/17927395.jpg,0
1341,18966819,18966819,26984955,63,345539826,9780345539820.0,Pierce Brown,2015.0,Golden Son,"Golden Son (Red Rising, #2)",eng,4.46,57614,79535,7737,338,1069,6783,25147,46198,https://images.gr-assets.com/books/1394684475m/18966819.jpg,https://images.gr-assets.com/books/1394684475s/18966819.jpg,0
1345,25574782,25574782,42937661,12,62430874,9780062430880.0,Karin Slaughter,2015.0,Pretty Girls,Pretty Girls,eng,3.95,60737,86626,8964,2344,4769,16789,33410,29314,https://images.gr-assets.com/books/1432205734m/25574782.jpg,https://images.gr-assets.com/books/1432205734s/25574782.jpg,0
1353,13206900,13206900,18390887,40,312642989,9780312642980.0,Marissa Meyer,2015.0,Winter,"Winter (The Lunar Chronicles, #4)",eng,4.49,100464,110738,17494,359,1436,9090,32666,67187,https://images.gr-assets.com/books/1470057036m/13206900.jpg,https://images.gr-assets.com/books/1470057036s/13206900.jpg,0
1366,16131484,16131484,27237970,68,,,Rick Yancey,2014.0,The Infinite Sea,"The Infinite Sea (The 5th Wave, #2)",eng,3.94,78314,91051,10731,1026,4653,20427,37169,27776,https://images.gr-assets.com/books/1395351812m/16131484.jpg,https://images.gr-assets.com/books/1395351812s/16131484.jpg,0
1375,12700353,12700353,17831620,75,1419701762,9781419701760.0,Jesse Andrews,2012.0,Me and Earl and the Dying Girl,Me and Earl and the Dying Girl,en-US,3.58,82270,93511,11471,4497,10268,26506,31103,21137,https://images.gr-assets.com/books/1337216932m/12700353.jpg,https://images.gr-assets.com/books/1337216932s/12700353.jpg,0
1395,18498569,18498569,25328659,98,62306812,9780062306810.0,Jessie Burton,2014.0,The Miniaturist,The Miniaturist,eng,3.58,56344,72938,8777,2490,7022,22942,26801,13683,https://images.gr-assets.com/books/1392415313m/18498569.jpg,https://images.gr-assets.com/books/1392415313s/18498569.jpg,0
1433,28187230,28187230,48209164,37,1501132938,9781501132930.0,Ruth Ware,2016.0,The Woman in Cabin 10,The Woman in Cabin 10,eng,3.67,90541,109821,12391,2029,8795,33879,43732,21386,https://images.gr-assets.com/books/1465878007m/28187230.jpg,https://images.gr-assets.com/books/1465878007s/28187230.jpg,0
1451,6465707,6465707,6656179,7,1607060760,9781607060760.0,Robert Kirkman,2009.0,The Walking Dead Compendium Volume 1,"The Walking Dead, Compendium 1",eng,4.43,57764,58612,2154,849,1260,5314,15352,35837,https://images.gr-assets.com/books/1449865699m/6465707.jpg,https://images.gr-assets.com/books/1449865699s/6465707.jpg,0
1482,22450859,22450859,21890979,24,1439199353,9781439199350.0,Anita Diamant,2014.0,The Boston Girl,The Boston Girl,eng,3.79,51603,60608,7303,841,3333,16733,26479,13222,https://images.gr-assets.com/books/1418103945m/22450859.jpg,https://images.gr-assets.com/books/1418103945s/22450859.jpg,0
1490,22453035,23492589,41884478,73,1501100130,9781501100130.0,Stephen King,2015.0,Finders Keepers,"Finders Keepers (Bill Hodges Trilogy, #2)",eng,4.03,36541,65282,6876,372,1857,12964,30192,19897,https://images.gr-assets.com/books/1468705421m/22453035.jpg,https://images.gr-assets.com/books/1468705421s/22453035.jpg,0
1508,23346377,23346377,42905101,58,1846558913,9781846558920.0,Ruth Ware,2015.0,"In a Dark, Dark Wood","In a Dark, Dark Wood",eng,3.65,67344,84171,9107,1904,6968,26321,32390,16588,https://images.gr-assets.com/books/1429521615m/23346377.jpg,https://images.gr-assets.com/books/1429521615s/23346377.jpg,0
1514,17780,17780,1640941,86,141001828,9780141001820.0,Nathaniel Philbrick,1999.0,In the Heart of the Sea: The Tragedy of the Whaleship Essex,In the Heart of the Sea: The Tragedy of the Whaleship Essex,en-US,4.16,57259,61145,4593,743,1672,9369,24755,24606,https://images.gr-assets.com/books/1335902168m/17780.jpg,https://images.gr-assets.com/books/1335902168s/17780.jpg,0
1522,4954833,4954833,5020624,86,1439138311,9781439138310.0,Colm Tóibín,2009.0,Brooklyn,Brooklyn,eng,3.63,55459,67822,8669,1042,5940,21904,27255,11681,https://images.gr-assets.com/books/1489957005m/4954833.jpg,https://images.gr-assets.com/books/1489957005s/4954833.jpg,0
1538,22501028,22501028,41711673,47,385683421,9780385683420.0,Anne Tyler,2015.0,A Spool of Blue Thread,A Spool of Blue Thread,eng,3.4,42339,60334,7715,2302,7578,21930,20780,7744,https://images.gr-assets.com/books/1451435883m/22501028.jpg,https://images.gr-assets.com/books/1451435883s/22501028.jpg,0
1551,29437949,29437949,45981530,62,1250121000,9781250121000.0,B.A. Paris,2016.0,Behind Closed Doors,Behind Closed Doors,eng,3.93,57865,102851,12159,2944,6308,20514,37908,35177,https://images.gr-assets.com/books/1458854462m/29437949.jpg,https://images.gr-assets.com/books/1458854462s/29437949.jpg,0
1568,27362503,27362503,43940889,19,,,Colleen Hoover,2016.0,It Ends with Us,It Ends with Us,eng,4.44,80433,94915,15878,1172,2155,8566,24847,58175,https://images.gr-assets.com/books/1470427482m/27362503.jpg,https://images.gr-assets.com/books/1470427482s/27362503.jpg,0
1628,12287209,12287209,17263666,12,,,Hugh Howey,2011.0,Wool,"Wool (Wool, #1)",eng,4.12,59191,59744,3651,982,2571,9520,22139,24532,https://images.gr-assets.com/books/1327889474m/12287209.jpg,https://images.gr-assets.com/books/1327889474s/12287209.jpg,0
1668,23437156,23437156,42077459,48,1627792120,9781627792130.0,Leigh Bardugo,2015.0,Six of Crows,"Six of Crows (Six of Crows, #1)",eng,4.46,90202,101264,17068,1100,1725,7886,29552,61001,https://images.gr-assets.com/books/1500689111m/23437156.jpg,https://images.gr-assets.com/books/1500689111s/23437156.jpg,0
1671,23734628,32768522,43346673,51,1250049555,9781250049550.0,Rainbow Rowell,2015.0,Carry On,Carry On,eng,4.19,46197,87797,14621,2051,3611,12362,27273,42500,https://images.gr-assets.com/books/1429810397m/23734628.jpg,https://images.gr-assets.com/books/1429810397s/23734628.jpg,0
1688,25893709,25893709,45584499,49,1400067693,9781400067700.0,"Elizabeth Strout, Goran Skrobonja",2016.0,My Name Is Lucy Barton,My Name Is Lucy Barton,eng,3.51,49578,65707,8732,2390,7926,21069,22643,11679,https://images.gr-assets.com/books/1450653428m/25893709.jpg,https://images.gr-assets.com/books/1450653428s/25893709.jpg,0
1699,21104828,21104828,40462273,60,,,Kate Morton,2015.0,The Lake House,The Lake House,eng,4.04,46348,62987,7964,926,2137,11552,27411,20961,https://images.gr-assets.com/books/1455089249m/21104828.jpg,https://images.gr-assets.com/books/1455089249s/21104828.jpg,0
